jday,month,day,hour,u10,v10,mixht,precip,tempc,year,datetime,ws,wd,wd_category_8,wd_category_4,ws_category,mixht_category,tempc_category,total_hours,percentage_wd_8,percentage_wd_4,percentage_ws,percentage_mixht,percentage_tempc
4,Jan,4,9,2.158,0.385,127.093,0.0,15.085,2018,2018-01-04 09:30:00,2.1920741319581323,259.8845178711418,W,W,2-4,100-500,15-20,745,76.91275167785236,91.14093959731544,52.61744966442953,28.187919463087248,16.10738255033557
4,Jan,4,10,2.523,0.138,313.213,0.0,18.409,2018,2018-01-04 10:30:00,2.5267712599283696,266.8692244738973,W,W,2-4,100-500,15-20,745,76.91275167785236,91.14093959731544,52.61744966442953,28.187919463087248,16.10738255033557
4,Jan,4,11,2.897,-0.095,693.882,0.0,20.307,2018,2018-01-04 11:30:00,2.8985572273115463,271.87820132242604,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
4,Jan,4,12,2.964,-0.095,900.622,0.0,21.406,2018,2018-01-04 12:30:00,2.965522045104369,271.83577474054573,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
4,Jan,4,13,2.886,-0.145,1005.065,0.0,22.179,2018,2018-01-04 13:30:00,2.8896402890325295,272.87626750724075,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
4,Jan,4,14,2.752,-0.138,1093.553,0.0,22.545,2018,2018-01-04 14:30:00,2.755457856690971,272.8707122729944,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
4,Jan,4,15,2.603,-0.216,1104.316,0.0,22.51,2018,2018-01-04 15:30:00,2.611946592103292,274.7436031065679,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
4,Jan,4,16,2.057,-0.182,903.481,0.0,21.534,2018,2018-01-04 16:30:00,2.0650358350401574,275.05627020873214,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
4,Jan,4,17,1.416,-0.061,16.369,0.0,15.96,2018,2018-01-04 17:30:00,1.4173133034018977,272.46672521982447,W,W,<2,<100,15-20,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,16.10738255033557
4,Jan,4,18,1.004,-0.086,16.205,0.0,13.689,2018,2018-01-04 18:30:00,1.00767653540211,274.8958552212067,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
